skill,closeness
sql,0.39296826820653696
python,0.3912300286053164
java,0.3833139654111696
aws,0.3826548020362763
ci/cd,0.37565148652812946
azure,0.36993178609597444
scrum,0.36657514545335684
git,0.36612039697048837
javascript,0.36103349257652045
kanban,0.35571104147371896
power bi,0.3549949354266903
react,0.35495898111105484
docker,0.3520529884480161
agile,0.3508722530910547
linux,0.34908984511180835
c,0.34907680623513737
html,0.3485257191159287
go,0.3479029656284899
css,0.34718352588630086
kubernetes,0.34705889634342585
github,0.3460479869665029
jira,0.34589856520719986
gcp,0.34479260179298304
oracle,0.344343735799467
sap,0.34391291015026065
angular,0.3431090606490773
mysql,0.34286570303519454
typescript,0.3418123521810158
r,0.3417123705057892
c#,0.3416540748683954
nosql,0.3416249345079261
spring,0.34033526741278436
postgresql,0.34020724885636977
facebook,0.3396961362782752
figma,0.33890366251662035
spark,0.33884632118340907
salesforce,0.338596703097639
google cloud,0.3385435533338163
grafana,0.3374150069197906
kafka,0.336827246516098
shell,0.3359876809510114
node.js,0.33593534704832195
tableau,0.3357663796510305
sql server,0.3355935652215546
safe,0.3352685137575185
terraform,0.3351803368838838
mongodb,0.3348880819856191
trello,0.33373208589249154
photoshop,0.3335573903112211
php,0.3335296146937416
.net,0.33322438792488707
azure devops,0.33307000558334027
confluence,0.3329592551688102
gitlab,0.3327656190657045
c++,0.3321978672985782
jenkins,0.33218605973721316
electron,0.3312989637122027
looker,0.3300898291715231
redis,0.3300703993219062
centos,0.32994998528979114
github actions,0.32916363380215546
ruby,0.3290361573036345
rabbitmq,0.3281773064587869
google sheets,0.32804675434080593
slack,0.32801605128925077
prometheus,0.3279469904320771
google analytics,0.3278396202146816
notion,0.3278012907449843
miro,0.32768635609265795
totvs,0.3276442335783483
spring boot,0.32712433933425894
json,0.3270251355922319
react native,0.32680786087280866
sas,0.3267393077729868
microsoft excel,0.3266822021555491
room,0.3262488509291474
zoom,0.326176737476442
canva,0.3258961781662637
vba,0.3256501387969383
clickup,0.3255858513133753
unity,0.3254497968659315
dax,0.32486906748238786
datadog,0.3247411336838935
ips,0.32465088812209075
tiktok,0.3246320932763671
airflow,0.32452688234272814
bootstrap,0.3245118577761317
api rest,0.3243842051068458
postman,0.32426415312554213
zabbix,0.3242566528270901
tensorflow,0.3240730038374405
ansible,0.32398687297056816
arm,0.3237848324922338
hadoop,0.3237810933782941
asana,0.3237399688239709
dynamodb,0.3237138040918118
graphql,0.3236465427680942
serverless,0.3236278640272407
kotlin,0.3235569044706534
bigquery,0.32354196958157355
pytorch,0.32354196958157355
uml,0.322945702504089
jquery,0.32290478987435073
ids,0.3228601697354936
api gateway,0.32245172568458097
servicenow,0.32235904157468726
checkpoint,0.3221960468857734
sketch,0.3220924087859572
jest,0.3219666521209894
tdd,0.3215162148525297
illustrator,0.3214572345792249
cobit,0.3214424928918646
vmware,0.3214203828957927
next.js,0.32124729310127526
swift,0.32081721857335743
vue.js,0.32066678103734203
restful api,0.3205714547055259
active directory,0.3204542077651926
selenium,0.3204468826790102
siem,0.3204395579277004
elasticsearch,0.3203882940430346
wordpress,0.32032606708710354
autocad,0.32024557395773845
cypress,0.3197999361255589
nlp,0.3197233530612478
snowflake,0.319675962875972
bitbucket,0.3195193107613762
qlik,0.31950838727322456
hive,0.31934098726622473
golang,0.3192537177472615
splunk,0.31894502144311604
bash,0.3188072090511115
kibana,0.3185391790408889
gitflow,0.3182715993325236
blockchain,0.31819574641941123
google docs,0.3181560283687943
asp.net,0.31798643560313933
new relic,0.3179575867543661
talend,0.3179539810163187
sonarqube,0.3178170235436811
microsoft teams,0.3178170235436811
premiere,0.3177954094644375
metabase,0.3177593925313084
django,0.31772698427088525
langchain,0.31768738315109624
junit,0.31742841939610766
dbt,0.31736374441111553
macos,0.3170837904165206
xml,0.31703717942919174
sass,0.3169010104663517
protheus,0.3168616149629881
bdd,0.31680790960451977
bpmn,0.3164646259424805
pandas,0.31630753610108303
vault,0.3163003993592202
fastapi,0.31599382382111624
adobe xd,0.31591905260904346
aws lambda,0.31586566626109686
puppet,0.3156238742795389
nestjs,0.31524061164830225
ocr,0.31498561991641577
playwright,0.31485474289436155
nginx,0.3147451728783116
entity framework,0.314663928262797
chef,0.31462508696725544
scala,0.3144133940386211
dynatrace,0.31439224041264857
scada,0.31437813957660565
windows server,0.3139521863277532
flutter,0.31392757972053026
maven,0.3137133138643662
owasp,0.3135729703734356
waf,0.31353439792449456
unix,0.31347830948121647
pl/sql,0.3134397603157036
matplotlib,0.31329265976109866
redshift,0.31327165666655493
hibernate,0.3131736794486579
mqtt,0.3131596877059343
numpy,0.31310023674453924
delphi,0.3125905857693937
jasmine,0.31254180229188033
openshift,0.31254180229188033
google data studio,0.31231898587532864
ada,0.31218336283974124
hugging face,0.3120061872649173
swagger,0.3118257446003959
framer,0.3117078756614933
scikit-learn,0.3116870845098606
jmeter,0.3116524387532791
ajax,0.3116212641570249
ldap,0.31134788788699863
google tag manager,0.3112234703845129
sentry,0.31104393166185934
oracle cloud,0.31103357997847864
ssis,0.3109749334516415
opentelemetry,0.3108335827762442
elk stack,0.31058222744090214
laravel,0.3104377961822933
flask,0.3097039655362863
mlflow,0.3096594988016743
argocd,0.309474927425853
nexus,0.3094134525188986
microsoft dynamics,0.30927010600394894
abap,0.30926669461051426
azure functions,0.3092121225489115
svn,0.3091064439667053
redux,0.3090519284399422
cassandra,0.308919127368885
microsoft windows,0.3088544707476399
webpack,0.3087864403792993
apollo,0.3086436741119098
cucumber,0.3084908566775961
prefect,0.3082771663239838
helm,0.30822633129589727
robot framework,0.3082026140198525
okta,0.3081585773322782
nagios,0.30814164349536755
objective-c,0.3077797049266708
drupal,0.30767837938678316
grpc,0.3074051333779206
mariadb,0.3073849122383871
ubuntu,0.3073310022032468
lua,0.30711218700024095
fortinet,0.30702474813841435
openid connect,0.3067929400693738
bamboo,0.30634376058477103
proxmox,0.3062065877419073
edge computing,0.3057257818292842
pentaho,0.30557250910042066
perl,0.3054127361059672
tailwind css,0.30529634025501706
sast,0.30500739741525607
assembly,0.3046163707872493
rxjs,0.30448404682782737
dast,0.3044476778908278
crystal,0.3043088945569002
netsuite,0.30430228898271056
circleci,0.304265963450102
data mart,0.3041372427782659
seaborn,0.3039624891587164
rust,0.3038998905255856
cobol,0.3038867151512524
automl,0.3038175631745481
kinesis,0.30373528041686076
unreal engine,0.30369251099412925
karma,0.3036826428378012
sap hana,0.30345585211160897
adobe analytics,0.3033540708682716
palo alto,0.3032753193652717
rancher,0.3031113849879458
parquet,0.3029803650352824
dart,0.3027873172206743
keras,0.302738276483863
wireshark,0.30271539624271215
nessus,0.3025128935499881
core data,0.30232044079748976
cognos,0.3021738193261915
monday.com,0.3021021894664253
llamaindex,0.3020924243893504
microsoft outlook,0.3019362689669284
plotly,0.30193301744561707
clickhouse,0.3018355043599957
crowdstrike,0.30162768681283214
groovy,0.3013067821564055
pytest,0.3012549828621775
android studio,0.30116114202238503
sqlite,0.30100917923667403
cloudflare,0.3003738938527137
flink,0.3000684953498079
matlab,0.3000331735296636
keycloak,0.2999689733384688
xunit,0.29981500491894436
elastic stack,0.2996387769714976
teradata,0.29960355623944773
single sign-on sso,0.29956514306472637
istio,0.299433972339403
ibm cloud,0.2994115888169838
ionic,0.29923583465852693
fivetran,0.2992262540021345
cyberark,0.29890087631393786
firestore,0.29883078956343795
vercel,0.2988212348257964
