skill,degree,closeness,degree - closeness
python,412,0.36469681027092066,0.0
go,406,0.3629244129654302,-0.00973339487002367
sql,400,0.3613747784096427,-0.020078262763629673
scrum,340,0.3536238430509958,-0.14478771981328198
java,340,0.35332858239718196,-0.14397724353314445
git,282,0.338897382955973,-0.245483517232011
ci/cd,263,0.3385358924141533,-0.29071995356005587
aws,251,0.34071647787253756,-0.32590263595649005
javascript,227,0.33647219627698777,-0.37264644789090773
docker,225,0.3250152576940796,-0.3460638830949728
azure,211,0.3355827640901599,-0.40913443974683483
kanban,208,0.32493206976019323,-0.3871980666349538
css,191,0.3294005180469836,-0.44082627247361716
linux,191,0.32426809618213914,-0.42673802154215834
power bi,182,0.330773735422896,-0.4664934982793788
angular,172,0.3124562137713696,-0.440543683440247
react,170,0.31031767209803834,-0.4395396695503235
postgresql,169,0.32025973676919145,-0.4692632484612769
kubernetes,154,0.3147024284960523,-0.4905050551590999
agile,152,0.32098851998813527,-0.5126262537254683
html,148,0.32526507726186904,-0.5340975576550996
photoshop,138,0.2589250655829237,-0.3763283196126766
oracle,129,0.30805862571052534,-0.5330953869702724
mysql,128,0.31168907354605324,-0.5454938815243495
spring,123,0.303783105181401,-0.5359578290979916
nosql,122,0.30805862571052534,-0.5501270171405888
illustrator,115,0.25750701755640465,-0.4283969166078474
jenkins,112,0.3044387521710012,-0.5645215387876091
gitlab,112,0.30963648696416457,-0.5787890705629768
github,111,0.31634926403017066,-0.5996484104637296
c,99,0.3044387521710012,-0.5961517091039108
mongodb,98,0.30118851638269867,-0.589663058363777
php,96,0.3060534225055629,-0.6078831715110342
sql server,96,0.3117656180140164,-0.6235628731824563
gcp,96,0.3093346970158564,-0.6168901120730832
spring boot,92,0.29934204115847085,-0.5991931129131614
jira,88,0.3119188197919103,-0.643448124881908
typescript,80,0.3019047792040606,-0.6354247857637
r,79,0.31214890497985615,-0.6659775078649249
c#,78,0.30204844076923026,-0.6406853098925278
canva,76,0.27383727276813524,-0.5681131919338973
shell,76,0.29905997563087744,-0.6373482970085472
redis,75,0.29689186074674345,-0.6338300160543672
sap,75,0.3000495383013649,-0.6424976889233608
figma,72,0.3065707791724402,-0.6676974512387187
grafana,67,0.30517057609448917,-0.6760194113206524
premiere,65,0.2549216057335492,-0.5429545868388024
node.js,65,0.29585401923865645,-0.6553120913222459
google cloud,63,0.2887217640557368,-0.6406005742582765
.net,62,0.3003334744625207,-0.6749072503326429
zabbix,60,0.2836892953191229,-0.6340859599248114
autocad,59,0.2331514410565794,-0.4977950730163175
spark,59,0.2834992399627233,-0.6359973571455626
prometheus,56,0.29599197867873045,-0.677588593562517
after effects,56,0.24698630283133752,-0.543070372616405
active directory,55,0.2872193657359898,-0.6559412833944058
maven,54,0.267490433323446,-0.6042194037461237
facebook,53,0.28586120165572504,-0.6570793684281337
django,53,0.2926485930274493,-0.6757104309816342
ansible,52,0.28702455269117677,-0.6627058010381708
terraform,52,0.29204269531931787,-0.6764803609665653
kafka,46,0.2804926196537947,-0.6593744994600262
vmware,46,0.2913724114191129,-0.6892390040756202
tiktok,46,0.2642059514158324,-0.6146683792274904
tableau,46,0.30583223236643575,-0.7289305164443179
indesign,46,0.2333657346604917,-0.530013468958732
trello,43,0.28573252229418744,-0.6810570500189663
laravel,43,0.28937989435903233,-0.691068910743413
junit,40,0.28311989218400424,-0.6811847762180103
servicenow,39,0.2946865358758298,-0.7153677463294397
salesforce,39,0.2850908593202504,-0.6890280761440825
bootstrap,39,0.2816125990579137,-0.6794804191760583
azure devops,38,0.29941264069647994,-0.7307737665600279
json,37,0.28123828014024693,-0.6833191118163675
ruby,37,0.2818001324202164,-0.6848613692759191
nlp,37,0.2636572370826739,-0.6350599950184195
owasp,36,0.2856682260470465,-0.6979121900862618
selenium,36,0.26936337715957454,-0.6531561648460834
windows server,35,0.2856682260470465,-0.7003452801105927
graphql,35,0.2876097862603251,-0.7056747694245102
rabbitmq,34,0.28598999697073096,-0.7036616158295858
xml,33,0.26976404516639924,-0.6615552493086566
ips,32,0.26431596846826455,-0.6490336310805549
hibernate,31,0.2643710113604904,-0.6516178111941442
vue.js,31,0.29244634797352564,-0.7286832585804729
wordpress,30,0.29110515857671976,-0.7274348482787611
hadoop,30,0.2681684825840885,-0.664474776907553
restful api,30,0.2819879157159207,-0.7024084555525892
tensorflow,30,0.27114685957989637,-0.6726502783745777
github actions,30,0.2913055522150241,-0.7279849191684589
bash,29,0.29117192581492546,-0.730051211157626
pytorch,29,0.271031083807232,-0.6747655694766782
asp.net,29,0.2822386830931692,-0.7055298899549027
