skill,degree,closeness,degree - closeness
sql,1333,0.36299403606838954,0.011767212405002003
python,1282,0.36731477141491997,-0.03828828828828834
java,1108,0.3593802893838862,-0.1473099269546645
aws,929,0.34313784075818754,-0.23745916902481146
ci/cd,908,0.34261553755785723,-0.25180247953581725
git,886,0.3390935913168442,-0.25872722840790296
scrum,832,0.3526242115113052,-0.3361174412912509
javascript,775,0.3453677179669596,-0.3591476950707694
linux,757,0.33810484923480705,-0.35288130720487665
azure,750,0.33455751966906483,-0.34847566515380846
react,737,0.32889265814731433,-0.3428075814042708
docker,677,0.33284057158395414,-0.3986044851584605
html,616,0.3422478092406358,-0.4700202170929964
photoshop,585,0.29825804834287606,-0.3734905358657453
kanban,572,0.3374191288933406,-0.48990268599159137
c,547,0.3324068654141449,-0.4950209151509643
css,536,0.33587901085933103,-0.5127353121628664
postgresql,531,0.3233891089131569,-0.4824737149795864
agile,521,0.3404512328141758,-0.5364486915453349
kubernetes,491,0.32254407478525976,-0.5102023552518692
power bi,486,0.3394846853759419,-0.5600926452901371
github,473,0.3228161835082405,-0.5244569373298203
illustrator,472,0.2903594211188625,-0.43681402672818564
mysql,438,0.330912062196993,-0.5727817577762873
angular,433,0.3084271656966049,-0.5152995107560022
typescript,432,0.3173281611489761,-0.5402914833599073
go,378,0.33082623362425356,-0.6175930548676063
facebook,371,0.32974291276788564,-0.6198979635736598
gcp,352,0.3181196018801121,-0.6025069754106644
oracle,351,0.3233891089131569,-0.6176088501147216
c#,349,0.309926022047943,-0.582444601445438
mongodb,339,0.3083029151363597,-0.585531693849307
.net,337,0.3117185964901575,-0.5963355582067559
ubuntu,326,0.2908449535374095,-0.5477459490092124
nosql,317,0.3110850478610568,-0.6096251490313002
php,307,0.319687675442995,-0.640561294925346
node.js,307,0.3105800601611078,-0.6157573588057528
r,302,0.333886098443779,-0.682983434003939
canva,302,0.28106075369752315,-0.5391174014556126
figma,299,0.32008880599062517,-0.6476597511689925
sap,295,0.3264515319041871,-0.6679911812324069
premiere,293,0.2496005760552447,-0.46019462384490145
jenkins,286,0.302334897579499,-0.6090680164405669
jira,284,0.3231160338792424,-0.6671654501721557
spring,276,0.3047912406877955,-0.6232651979911972
after effects,272,0.24724592971375495,-0.46954767940817355
sql server,266,0.3125843753800538,-0.6519967481372412
gitlab,263,0.312405733862508,-0.6537624830463282
redis,251,0.294652264367992,-0.6144211929250172
kafka,206,0.29572252646662767,-0.651119758669187
grafana,202,0.3106557037722694,-0.6947921975769251
spring boot,200,0.2833081576437218,-0.6218146212731587
tiktok,198,0.2926242978790142,-0.6486879616287804
salesforce,196,0.31730184760686003,-0.7173969974949459
shell,194,0.303389623882254,-0.6810095568457076
terraform,189,0.31037852384433867,-0.7037970777097752
indesign,189,0.25444702804235325,-0.5514716658421064
azure devops,180,0.30713983474855955,-0.7017334973138758
active directory,177,0.2889779580270308,-0.6545231826844733
ruby,172,0.30513150442286424,-0.7022699599143037
google analytics,163,0.3088752981567525,-0.7192226700294523
google cloud,157,0.31012697096202363,-0.7271360155251129
debian,155,0.28234655091052785,-0.6529795381808077
autocad,154,0.2651492659262674,-0.6068947183702548
bootstrap,148,0.27342896360819813,-0.6339483848711582
tableau,148,0.31479590565710414,-0.746608280605288
c++,146,0.2943802462757186,-0.692509200015631
rabbitmq,143,0.2915540882483088,-0.6870646138523256
junit,141,0.2821175678265144,-0.662866429707364
github actions,133,0.30135866361212277,-0.7212741782075162
centos,132,0.2928482479022637,-0.6988474229827635
asp.net,128,0.2759728557365352,-0.6558915073976858
flutter,127,0.29115477505915377,-0.6979891250719831
owasp,126,0.28303573587891034,-0.6766282557173331
laravel,126,0.28597598230372023,-0.684635805689485
golang,125,0.2913542948349586,-0.7000340043535607
hibernate,123,0.2743700305607091,-0.6552800818985199
graphql,121,0.29923766422013126,-0.724506797700679
spark,121,0.29526614693583303,-0.7136906556076436
bash,117,0.2966395310837574,-0.720433971702321
maven,115,0.2805867373943119,-0.6782168424876259
zabbix,113,0.28791254138030387,-0.6996696450124129
prometheus,112,0.28799921959996455,-0.7006564576692588
vue.js,111,0.2905578519469174,-0.7083754598582931
restful api,111,0.2967085357434132,-0.7251264054415465
postman,110,0.2977706417038192,-0.7287697254959811
looker,108,0.3048398033232367,-0.7495235809672232
totvs,107,0.28793420604348763,-0.704233151671162
cypress,105,0.28965607896861806,-0.7104240504209125
react native,102,0.2946749552358345,-0.7263448517358105
selenium,101,0.29352215941509824,-0.7239560458615312
json,100,0.2915985240018997,-0.7194679137181772
airflow,99,0.29426705357903093,-0.7274862131208836
trello,98,0.3090499237745773,-0.7684970491569442
vmware,97,0.29111047443530974,-0.7203909980270967
vba,94,0.28112270001211687,-0.695442263950637
serverless,93,0.2845723148190926,-0.7055877928799956
safe,92,0.30503420871417186,-0.7620650420994292
tdd,86,0.2939054211924366,-0.736261093047862
blazor,86,0.2557052779053713,-0.6322257463050053
nlp,86,0.2824507570559091,-0.705065137935565
next.js,84,0.28730725165858984,-0.7197929536984525
datadog,83,0.30394389222883583,-0.7658524002139093
ansible,83,0.2923783481348561,-0.7343544715007885
protheus,83,0.2828056340279316,-0.7082838721341798
django,81,0.28670450164574446,-0.7204036595796768
xml,80,0.2848265012627883,-0.7160398111637218
wordpress,80,0.30452442252317286,-0.7696856850296319
windows server,77,0.29604283247958907,-0.7488389359382484
playwright,76,0.2883899183189455,-0.7287475245978047
scada,75,0.2762318448810632,-0.6963866355222333
jest,74,0.28841165488712484,-0.7303082240816421
tensorflow,74,0.28548525618046994,-0.7223383873753547
delphi,70,0.28554916840527805,-0.7255154507325048
bpmn,70,0.2866830216306371,-0.7286034185594652
pytorch,69,0.2801553341300237,-0.7115764812148607
kotlin,69,0.29053579068485846,-0.7398469091270269
confluence,69,0.3028613424524064,-0.7734146641560523
unreal engine,68,0.27705185035766783,-0.7038751168009755
google sheets,68,0.27502078062420876,-0.6983436442514763
rust,68,0.28122600457244173,-0.7152431260209619
pl/sql,67,0.285421372559201,-0.7274196601761475
scikit-learn,65,0.292803430479009,-0.749025666249576
fastapi,64,0.2838966970519664,-0.7255195681852512
dbt,61,0.27653128319529746,-0.7077126447761741
notion,61,0.2960199304695725,-0.7607885759707818
sketch,60,0.2833081576437218,-0.7269197263782637
openstack,60,0.2597496270722553,-0.6627597603190633
pandas,59,0.2907786489771594,-0.7480158237517548
snowflake,57,0.28503867043204056,-0.7338849059256513
entity framework,56,0.2687999459952182,-0.6904106569231014
bitbucket,56,0.2864683983690757,-0.7385294180311603
redux,56,0.2849537648445417,-0.7344044224066909
electron,55,0.30048306813890835,-0.7774481153792439
api rest,54,0.28234655091052785,-0.7288053640066335
flask,54,0.27581371904818025,-0.7110136656115585
langchain,53,0.2776549454859724,-0.716778864330432
servicenow,53,0.2925795489708245,-0.7574249500500104
