skill,degree,closeness,degree - closeness
sql,7010,0.39399912564446304,0.0
python,6364,0.38859241354443996,-0.07844342480096533
aws,5481,0.3770279615707692,-0.17507040468445134
java,5384,0.37814679423777775,-0.19174967286736888
azure,4527,0.3673633649342284,-0.28664959635711207
ci/cd,4421,0.36787596086768964,-0.30307412487177
scrum,3749,0.36329619313837297,-0.3873260884217077
git,3638,0.35699444519277346,-0.387167222781059
power bi,3386,0.35901439357141446,-0.4282482058627974
javascript,3065,0.3570694702950906,-0.4691096911474628
docker,2892,0.3424748054957952,-0.45674678951260117
kanban,2599,0.35301382979863005,-0.5253012569294568
react,2538,0.34587546233713906,-0.5158851253157992
kubernetes,2415,0.3397507124375057,-0.5178876160342223
gcp,2144,0.3399622068783294,-0.5570890238111996
html,2098,0.3466281325033947,-0.5805720487609581
agile,2070,0.348778597846572,-0.5900254114262986
linux,2068,0.34606332327126205,-0.5834186118043136
c,2058,0.3489059270629351,-0.5920606940248498
sap,2048,0.34157973653332263,-0.574891454531406
oracle,1923,0.33819529062008746,-0.584134971529621
css,1889,0.34403122897289545,-0.6037991658452818
github,1785,0.34148057314397623,-0.6121629338344421
postgresql,1781,0.336372636722113,-0.5997682183900521
angular,1721,0.34029508780014367,-0.6182849485499269
jira,1715,0.3452897092848136,-0.6318187751781152
.net,1658,0.331558978000591,-0.605098635224923
go,1620,0.34563311028857774,-0.6462444275900417
c#,1600,0.34052242607640976,-0.6361255167481337
nosql,1542,0.3389298948375835,-0.6403582897971375
sql server,1540,0.33517085823789,-0.6311021222606293
typescript,1463,0.3352884439973525,-0.6423864640063977
mysql,1450,0.33380995143721226,-0.6404883832521946
mongodb,1437,0.33306107478191443,-0.6404422772997734
spring,1433,0.32977851722890844,-0.632680897897529
photoshop,1425,0.3225578514857987,-0.6154941632214349
kafka,1393,0.3332352699047083,-0.6471620776020459
r,1365,0.3422448537463576,-0.6740258537977086
jenkins,1364,0.32994217549275573,-0.6429407952552183
salesforce,1339,0.3396752424671744,-0.6712129583993478
terraform,1276,0.3268043013696492,-0.6475312552087429
node.js,1220,0.33084878654638256,-0.6657870481533606
illustrator,1171,0.31259454731156744,-0.6264435556726607
figma,1126,0.33405059562625083,-0.6873254878430436
tableau,1097,0.33570801460784316,-0.6956700308844515
gitlab,1097,0.3282917208481774,-0.6768453464520578
facebook,1082,0.3356269630909606,-0.6976044044251957
