skill,degree,closeness,degree - closeness
sql,7479,0.38807850417716483,0.0
python,6423,0.380815025266217,-0.10401968913488557
java,5639,0.37342095189485774,-0.1709972733933497
aws,5096,0.36953868170721443,-0.22373009389345522
azure,4533,0.3614673610968154,-0.2576863004149793
scrum,4364,0.3640680074642339,-0.2936032143821896
ci/cd,4165,0.35880093179124606,-0.2932431723033717
power bi,4140,0.36116996112470945,-0.3087175451131965
git,4077,0.3534776044287871,-0.27775153771520555
javascript,3228,0.35369833212472807,-0.39241486170618994
kanban,3202,0.3548778269568908,-0.4019316382717621
docker,2795,0.33425340744688953,-0.35074523314140793
react,2562,0.34105741589620076,-0.4167449976592629
html,2475,0.3450518786354347,-0.4488338132974753
linux,2347,0.3437952774405764,-0.45951593512190303
c,2267,0.3482891996429634,-0.4932262841164686
sap,2255,0.34558157842944304,-0.48096591024251395
photoshop,2251,0.3341643512351083,-0.42303592129145695
kubernetes,2206,0.33105827787100056,-0.41314811383644334
css,2206,0.34270825201030525,-0.47280484663805744
oracle,2115,0.34253443096250635,-0.484083779753985
postgresql,2084,0.3306343796486339,-0.42729195496635736
github,2080,0.3415948485496955,-0.48395279863996915
gcp,2007,0.3319281663516068,-0.44421399823147567
angular,1970,0.3372385580117925,-0.47635509156526384
illustrator,1872,0.321075921591574,-0.40669520223054983
jira,1842,0.3449298707421522,-0.5328573417252237
go,1827,0.34508578503625964,-0.5356616254823681
mysql,1698,0.3367018216682646,-0.509979954910944
.net,1688,0.32549215882549215,-0.45391520695931303
c#,1685,0.3368762350593788,-0.5126115169317479
sql server,1671,0.3270806944340958,-0.46432305320976863
spring,1663,0.3362054109943133,-0.512118350337531
r,1647,0.34323748460621223,-0.5502675279050426
jenkins,1586,0.3251305410509943,-0.46570345947390257
mongodb,1562,0.32517871032260454,-0.4691595370815116
typescript,1481,0.33180899109960504,-0.5139433932646766
nosql,1479,0.33144572172829717,-0.5123506288389037
agile,1463,0.3416546678600615,-0.5667678111930516
figma,1414,0.337413528055342,-0.5516025021979709
facebook,1364,0.33816080885893113,-0.562115428319918
node.js,1303,0.32616933536426795,-0.5088672202500406
kafka,1294,0.32636939833832085,-0.5110952252735788
gitlab,1266,0.32354296032872065,-0.5003660285096792
spring boot,1248,0.319975945768642,-0.4845072603046089
canva,1236,0.3270563254358516,-0.522368899254154
tableau,1226,0.33441255451654067,-0.5613756459219689
salesforce,1142,0.3353578181401478,-0.5774490649728463
terraform,1141,0.3196206563882265,-0.49699654698797313
premiere,1114,0.3060872293693128,-0.43130569327046586
grafana,1102,0.3316460477854377,-0.5637910000370817
after effects,1102,0.2850024346696965,-0.3249402067842727
azure devops,1060,0.32717211052935585,-0.5464975117750442
spark,1012,0.3322862063092557,-0.5791044023735816
redis,1002,0.31948689956331877,-0.514899467976313
rabbitmq,950,0.31217109941686816,-0.4843907351116453
google cloud,925,0.33480151012469966,-0.6036187987356215
shell,912,0.33080256217030896,-0.5848795748906099
google analytics,809,0.3233642106038563,-0.5605632908473634
active directory,774,0.3147112592751909,-0.5209339912897949
tiktok,770,0.3133409472143902,-0.5144518531609636
autocad,764,0.31973705774168293,-0.5480071598396287
php,762,0.3274039268333613,-0.5875348149888749
indesign,759,0.28355268469923295,-0.36338426284034187
junit,719,0.3023660283785645,-0.4650719225548221
looker,711,0.32590296596013213,-0.5866687584901038
safe,688,0.33081502694148235,-0.6148979373019302
prometheus,678,0.3168979768629645,-0.5449693064796545
github actions,646,0.3194636489338476,-0.5623867189086215
datadog,633,0.3156050039542742,-0.5443659530601568
hibernate,627,0.303232825613926,-0.4818133387484335
trello,596,0.332210765301296,-0.6343479345577749
totvs,577,0.3256551493907528,-0.6033189788160203
zabbix,561,0.3166693718552183,-0.5594445695040939
bootstrap,553,0.314226914817466,-0.54800713561009
asp.net,544,0.30150417253339745,-0.484060543925291
confluence,542,0.32321540330596765,-0.5955060181312753
maven,542,0.30330091720933444,-0.49352869511386893
graphql,515,0.31021323958094094,-0.5325356367505945
airflow,507,0.30686822789234536,-0.516476436232873
kotlin,502,0.3088871688421349,-0.5274835782121294
owasp,500,0.29583017437452613,-0.46088928182824673
servicenow,495,0.31648672518519855,-0.5673351688412992
ansible,488,0.3134807991002089,-0.5528786190508241
c++,479,0.328174936921783,-0.6293273167596747
google sheets,463,0.32122276494155094,-0.59586651539107
cypress,462,0.3111146547600064,-0.5442390249508944
selenium,451,0.31006533639413736,-0.5403366979702413
tdd,450,0.30957334273624826,-0.5379510416475737
vmware,444,0.3172816305879802,-0.5782256947467863
postman,436,0.31645820567350325,-0.5750789373487589
vue.js,433,0.3031542963691925,-0.5073539747027931
vba,430,0.32406245386091836,-0.6148208281962528
windows server,426,0.3076262723593616,-0.5311899739497709
bash,422,0.3101036681207283,-0.5444110278367307
nlp,422,0.30517223400187704,-0.5191583325054574
bigquery,421,0.3134304380421977,-0.5615803469811521
ruby,418,0.30546953829024737,-0.5212156590800247
dynamodb,417,0.30849101354556474,-0.5368216372155641
flutter,401,0.3000461372840519,-0.4957170540329074
json,393,0.31819005508843146,-0.5896975248162635
pandas,387,0.3027205020343425,-0.511283994980213
dynatrace,382,0.30781501998457333,-0.5380404316044332
tensorflow,379,0.3168751015104759,-0.5848361201961885
pl/sql,377,0.3053739130434783,-0.5262087344474523
api rest,377,0.31720138738348147,-0.5867744033478667
api gateway,359,0.3130616174582799,-0.5679826918272782
cobit,359,0.31799989133781265,-0.593270411938051
centos,350,0.3242779050011081,-0.6266221495908505
siem,348,0.31595710224205564,-0.5842807588251281
serverless,348,0.3089360803701814,-0.5483277840977792
protheus,348,0.31298349434957756,-0.5690536236077341
hadoop,340,0.31932421619262386,-0.6025927492644327
react native,338,0.30996134088863,-0.5549151540891459
pytorch,338,0.31445763713533553,-0.5779396123908724
scikit-learn,319,0.2983129746351574,-0.4978074411930341
electron,317,0.329907560499023,-0.659863214341714
jest,309,0.31085028413617294,-0.563345262227469
scada,303,0.3109053242913044,-0.56442946327578
wordpress,302,0.3135423734866612,-0.5780668874500132
laravel,298,0.2940171798864721,-0.47861794063220625
xml,294,0.30798779204378024,-0.550693008387795
fortinet,293,0.3000615195324515,-0.5102381871185685
dax,292,0.32282914452758726,-0.6269594780267517
notion,287,0.3207006136762127,-0.6167284083082231
bpmn,284,0.31073476321936716,-0.5660968471031622
miro,284,0.3215698483627573,-0.6215807281446821
ips,282,0.31998760797463277,-0.6137459045200133
blazor,278,0.26492154496077247,-0.33230066098982736
sas,278,0.32448764622179516,-0.6373244270919214
bdd,278,0.307050676739062,-0.5480338744380941
next.js,270,0.30924076715802823,-0.5603186087233193
elasticsearch,262,0.3124877649445641,-0.5780155129987278
unix,255,0.30015384615384616,-0.5157925422903221
sketch,249,0.3166865057894167,-0.6012546939501092
sonarqube,247,0.30663779403803504,-0.5500650942675005
abap,247,0.2907648743976552,-0.4687836669918045
bitbucket,242,0.31134634821001117,-0.5748451026426004
swagger,241,0.3023347911429457,-0.5288327985857622
playwright,237,0.3011628704720088,-0.5233665753416956
gitflow,235,0.30828519760521095,-0.5601057612868359
restful api,233,0.3078366058906031,-0.5580760815361538
django,233,0.2979485178083586,-0.5074415460781646
openshift,231,0.3008017267961764,-0.5223195984746498
numpy,229,0.3003027141659968,-0.5200317252677501
delphi,228,0.3048702144283358,-0.5435545279082757
langchain,225,0.3069486932960406,-0.5545990981432997
nestjs,222,0.3058473114908293,-0.5493603619741911
