skill,degree,closeness,degree - closeness
python,5844,0.40745878763103033,0.0
aws,5636,0.4054253449101496,-0.03060703249650909
ci/cd,5445,0.40132860676921617,-0.0532402075898506
sql,5304,0.40005597361960293,-0.0742479475871014
java,5252,0.3993259988408973,-0.08135575020324881
azure,4123,0.38235400316884605,-0.23292036281102013
git,3828,0.37853437724146477,-0.27403279028038263
docker,3707,0.3753018714476414,-0.28680709092665857
javascript,3228,0.37077312678492,-0.357669647210204
scrum,3164,0.36986515272215553,-0.36639428712657107
kubernetes,3110,0.36550326776214104,-0.36492979543179616
react,3102,0.3672683188188731,-0.3706313024233995
agile,2787,0.3642864548993938,-0.41722292993606563
gcp,2470,0.3602842485174525,-0.46165239974390915
typescript,2078,0.3543904416164928,-0.5142747764521003
kanban,2064,0.3553534272085846,-0.5190344701166414
postgresql,1900,0.35241054168304764,-0.5398788818216603
css,1809,0.3518439652494736,-0.5540624018378317
github,1756,0.35063598642623206,-0.5601680804988356
html,1729,0.351913244055968,-0.5679240446085196
nosql,1697,0.3487430606807849,-0.565619415252274
linux,1695,0.3498466779614203,-0.5686705522289777
kafka,1687,0.34736485286752794,-0.5639480307421201
angular,1686,0.34771401987268014,-0.5649762119507471
go,1611,0.3509228474662431,-0.5856882048833242
node.js,1506,0.3456740497992862,-0.590775164077572
terraform,1479,0.34580781595851195,-0.5957244092647551
mysql,1477,0.34650059366916947,-0.5977671336516786
mongodb,1460,0.3466574116788471,-0.6010615103931907
c,1453,0.34816559652186546,-0.6059613900111305
.net,1447,0.3436138289180164,-0.5958158701245748
oracle,1431,0.3447849132812506,-0.6014286356198484
spring,1333,0.3412519212345168,-0.6095290536621661
c#,1322,0.342527242242101,-0.6145419449439222
jira,1191,0.34580781595851195,-0.6450141576816643
sql server,1181,0.3410565604247012,-0.6350635711766299
spark,1101,0.3406124058340519,-0.6476649830943807
jenkins,1083,0.3401154610952918,-0.6495258332050342
power bi,1059,0.34217749043917983,-0.6586945977215657
redis,1052,0.3407531100372881,-0.6563964469417051
grafana,1036,0.3401370372339092,-0.6576226053075193
rabbitmq,1036,0.33945870126221767,-0.6559576183297762
azure devops,1031,0.337662962808535,-0.652405673086713
google cloud,985,0.34212290623001074,-0.6712253468918283
gitlab,968,0.339576945846083,-0.6678857089018847
spring boot,962,0.3354658190850734,-0.6588217493273376
salesforce,940,0.3420792513995616,-0.6788197185711459
github actions,851,0.33682508945169004,-0.6811551916917548
prometheus,809,0.3344926657997273,-0.6826183071732143
sap,794,0.33468057716280564,-0.6856467131506673
ubuntu,777,0.32156352323597986,-0.6563601494130908
graphql,758,0.33439878922519195,-0.6911162785011352
airflow,723,0.33279025456579014,-0.6931581768928018
php,716,0.3368674134663229,-0.704363646263346
figma,708,0.33704740925551474,-0.706174608613956
datadog,669,0.33502563024473436,-0.7078867716788331
shell,653,0.33588612331245554,-0.7127371856491833
golang,622,0.3261306034753644,-0.6940975929441782
kotlin,610,0.33150427763303625,-0.7093411054774885
restful api,587,0.3318838900954305,-0.7142092046848508
tdd,583,0.33304864814191737,-0.717752702612582
jest,583,0.3304622611054994,-0.7114043724122819
bash,576,0.330187528801104,-0.7119280520987392
json,549,0.3344092173534617,-0.7269111711104462
facebook,545,0.33646576426448677,-0.7326435797082835
tableau,531,0.3350360975059661,-0.7315304681962069
django,514,0.3256255427205592,-0.7113415685381119
serverless,504,0.3332556520875585,-0.7317812490789586
cypress,503,0.33195580649063444,-0.7287619013002249
react native,500,0.3322437840151647,-0.7299821818257302
ruby,499,0.3320791642782564,-0.7297492648904176
r,499,0.335182707869642,-0.7373669644967487
dynamodb,496,0.3295989049599956,-0.7241748618271077
ansible,489,0.32955838756180145,-0.7252734259146469
next.js,474,0.3308905323646463,-0.731110371990539
vue.js,467,0.33064567010586626,-0.7317073682030978
selenium,430,0.3270456669271236,-0.729203463755484
fastapi,423,0.3294672598277454,-0.7363453187141724
postman,422,0.33009605284964155,-0.738059846653544
redux,420,0.3235915499222504,-0.7224367254453552
bigquery,419,0.33229526115935226,-0.743971275078595
tensorflow,417,0.3272552604026323,-0.7319427989206508
snowflake,409,0.32911335275675835,-0.7378726773314596
c++,408,0.3292952670926902,-0.738490334068636
pytorch,407,0.32711550158237623,-0.733311208158724
xml,405,0.3277453581366624,-0.7351994915158997
langchain,404,0.32762519852352373,-0.7350757026973236
api gateway,400,0.32738514342462083,-0.7351710632847873
junit,398,0.32915376079294806,-0.7398544540891097
swift,397,0.3291638643524297,-0.7400503984044722
safe,385,0.3346910228737034,-0.7556706408730194
looker,384,0.33183254031666837,-0.7488255926303364
debian,379,0.3127752770270805,-0.7029049462315587
playwright,367,0.32461027313072366,-0.7340078814521556
elasticsearch,357,0.32950775482034955,-0.7477402816957461
confluence,348,0.3342320275798983,-0.7608763927663009
scikit-learn,340,0.3212937551795738,-0.7304883466349941
servicenow,338,0.3262496690764385,-0.7429950100294268
flask,336,0.3224627987632974,-0.7340423634854856
photoshop,333,0.29392337388645584,-0.6645053031010678
bdd,328,0.32728522425983386,-0.7472482471293616
pandas,327,0.3239141053849289,-0.7391449244781385
dbt,324,0.32617028235159706,-0.7451961834236573
flutter,321,0.3253785348445992,-0.7437662608167023
nestjs,308,0.3255761111477504,-0.7464760996315067
nlp,306,0.3286493724255557,-0.7543617607126889
laravel,296,0.32329887463816986,-0.7429403240827113
tiktok,292,0.3245022203254087,-0.7465785360194809
hibernate,280,0.324188293514525,-0.7478617369337136
illustrator,279,0.27776051941030006,-0.6340751345306862
maven,278,0.322647140837449,-0.744421241854204
google analytics,277,0.3296191673953664,-0.761705342505342
new relic,269,0.3276752543199125,-0.7583031350564354
